age,qx,px,lx,dx,lx_next,Lx,Tx,ex
0,0.00569087923795987,0.9943091207620401,100000,569.087923795987,99430.91207620401,99715.45603810201,7232568.954094349,72.3256895409435
1,4.074421250520332e-4,0.9995925578749479,99430.91207620401,40.51234211219043,99390.39973409181,99410.65590514791,7132853.498056247,71.73678033436539
2,2.600905745106157e-4,0.9997399094254894,99390.39973409181,25.850506167679686,99364.54922792413,99377.47448100797,7033442.842151099,70.7658170302998
3,2.0749837268403635e-4,0.9997925016273159,99364.54922792413,20.61798226727708,99343.93124565684,99354.24023679049,6934065.367670091,69.784097261535507
4,1.524611516321137e-4,0.9998475388483679,99343.93124565684,15.146090165374366,99328.78515549147,99336.35820057415,6834711.127433301,68.79847658265591
5,1.476555341149426e-4,0.9998523444658851,99328.78515549147,14.666444825122475,99314.11871066636,99321.4519330789,6735374.769232727,67.8088910348498
6,1.2190396579723016e-4,0.9998780960342027,99314.11871066636,12.106784930487127,99302.01192573586,99308.06531820112,6636053.317299647,66.81883103280192
7,1.1654700364937803e-4,0.9998834529963506,99302.01192573586,11.573351946299319,99290.43857378956,99296.2252497627,6536745.2519814465,65.8269165469681
8,1.0330002352136686e-4,0.9998966999764787,99290.43857378956,10.256704640119294,99280.18186914946,99285.31022146951,6437449.026731684,64.83453109080158
9,1.1217904926817552e-4,0.9998878209507318,99280.18186914946,11.137156413252741,99269.0447127362,99274.61329094283,6338163.716510214,63.84117753595442
10,1.322618997233562e-4,0.9998677381002766,99269.0447127362,13.129512437429279,99255.91520029877,99262.47995651749,6238889.103219272,62.84828388621356
11,1.5545393028925983e-4,0.9998445460697107,99255.91520029877,15.42972212234393,99240.48547817643,99248.2003392376,6139626.623262754,61.85653127950074
12,1.646509749156805e-4,0.9998353490250843,99240.48547817643,16.340042685087184,99224.14543549134,99232.3154568339,6040378.4229235165,60.86607087640488
13,2.305673906266237e-4,0.9997694326093733,99224.14543549134,22.877852300217853,99201.26758319112,99212.70650934122,5941146.107466683,59.87601184561679
14,3.128371240869154e-4,0.9996871628759131,99201.26758319112,31.033839256502056,99170.23374393462,99185.75066356287,5841933.400957341,58.889705174969066
15,4.217916621312725e-4,0.9995782083378687,99170.23374393462,41.829177724800985,99128.4045662098,99149.31915507221,5742747.650293779,57.90797735862968
16,5.940588497447747e-4,0.9994059411502553,99128.4045662098,58.888105993637275,99069.51646021617,99098.96051321298,5643598.331138706,56.93220178247937
17,7.702488101397889e-4,0.9992297511898602,99069.51646021617,76.30817717460573,98993.20828304156,99031.36237162887,5544499.370625493,55.96574575845462
18,0.00109707357508851,0.9989029264249115,98993.20828304156,108.60283292055792,98884.605450121,98938.90686658128,5445468.008253864,55.00850111539139
19,0.00129248902943197,0.998707510970568,98884.605450121,127.8072677239902,98756.798182397,98820.70181625901,5346529.101387283,54.068366628455216
20,0.00135453167146237,0.9986454683285376,98756.798182397,133.76921091027415,98623.02897148672,98689.91357694186,5247708.399571024,53.13769275790886
21,0.0015592848031637,0.9984407151968363,98623.02897148672,153.78139031721255,98469.24758116952,98546.13827632813,5149018.485994082,52.209088888181824
22,0.00160376037804421,0.9983962396219558,98469.24758116952,157.92107772650533,98311.32650344301,98390.28704230627,5050472.347717754,51.28984400489688
23,0.00167785311109122,0.9983221468889087,98311.32650344301,164.95196502930656,98146.3745384137,98228.85052092836,4952082.060675448,50.371429588044656
24,0.00175045197567679,0.9982495480243232,98146.3745384137,171.80051521628047,97974.57402319742,98060.47428080556,4853853.210154519,49.455247154898835
25,0.0018144989105561,0.9981855010894439,97974.57402319742,177.7747578272897,97796.79926537014,97885.68664428378,4755792.735873714,48.54109122993162
26,0.00186492281303602,0.9981350771869639,97796.79926537014,182.38348199189304,97614.41578337824,97705.60752437418,4657907.04922943,47.62842019594394
27,0.00198662965371367,0.9980133703462863,97614.41578337824,193.92369302519492,97420.49209035304,97517.45393686564,4560201.441705056,46.71647527784073
28,0.00206691381228848,0.9979330861877115,97420.49209035304,201.35976070149133,97219.13232965155,97319.8122100023,4462683.98776819,45.80847306364718
29,0.00216737909408515,0.9978326209059148,97219.13232965155,210.7107149563845,97008.42161469517,97113.77697217336,4365364.175558188,44.90231573715418
30,0.002277141627171,0.997722858372829,97008.42161469517,220.90191504497736,96787.51969965019,96897.97065717267,4268250.398586014,43.99876142237372
31,0.00240277540379797,0.997597224596202,96787.51969965019,232.55867172893096,96554.96102792126,96671.24036378574,4171352.4279288417,43.09804033488336
32,0.0024151673559647,0.9975848326440353,96554.96102792126,233.19638993107927,96321.76463799019,96438.36283295573,4074681.187565056,42.20064038332283
33,0.00253634748138734,0.9974636525186127,96321.76463799019,244.30546514235056,96077.45917284784,96199.611905419,3978242.8247321,41.30159823881637
34,0.00260703788951447,0.9973929621104856,96077.45917284784,250.47757639189388,95826.98159645595,95952.2203846519,3882043.2128266813,40.405348416247186
35,0.00263226404918179,0.9973677359508182,95826.98159645595,252.24191859795604,95574.739677858,95700.86063715698,3786090.9924420295,39.50965510304724
36,0.00280054285600938,0.9971994571439906,95574.739677858,267.6611544197815,95307.07852343822,95440.9091006481,3690390.1318048723,38.61260981974542
37,0.0029617343375875,0.9970382656624125,95307.07852343822,282.27424707801515,95024.8042763602,95165.94139989921,3594949.2227042243,37.71964557512003
38,0.0029950501407169,0.9970049498592831,95024.8042763602,284.6040534195085,94740.2002229407,94882.50224965045,3499783.281304325,36.83020773319271
39,0.00328309284014769,0.9967169071598523,94740.2002229407,311.0408730260952,94429.1593499146,94584.67978642765,3404900.779054675,35.939345399759894
40,0.00329814581353047,0.9967018541864695,94429.1593499146,311.4411365851225,94117.71821332947,94273.43878162204,3310316.099268247,35.05607930916353
41,0.00351034182632741,0.9964896581736726,94117.71821332947,330.3853628427475,93787.33285048672,93952.52553190809,3216042.660486625,34.170427434259146
42,0.00356680091403028,0.9964331990859697,93787.33285048672,334.52074453557816,93452.81210595115,93620.07247821894,3122090.134954717,33.28903850941012
43,0.00375806688495131,0.9962419331150487,93452.81210595115,351.2019184809519,93101.6101874702,93277.21114671067,3028470.062476498,32.40640911953513
44,0.00393461010304307,0.9960653898969569,93101.6101874702,366.3185360531978,92735.291651417,92918.4509194436,2935192.851329787,31.52676785524394
45,0.00407710809065438,0.9959228919093456,92735.291651417,378.09180788118584,92357.19984353581,92546.24574747641,2842274.400410344,30.64932831714358
46,0.00445918103810241,0.9955408189618976,92357.19984353581,411.8374742745297,91945.36236926129,92151.28110639856,2749728.154662867,29.772753605796158
47,0.00483952120487498,0.995160478795125,91945.36236926129,444.97153087595404,91500.39083838534,91722.87660382332,2657576.8735564686,28.903870788864673
48,0.00528988965957291,0.9947101103404271,91500.39083838534,484.02697134285444,91016.36386704248,91258.37735271391,2565853.9969526455,28.042000405054484
49,0.00564460023038408,0.994355399769616,91016.36386704248,513.7509884526293,90502.61287858986,90759.48837281618,2474595.6195999314,27.188469352773122
50,0.00593155166523497,0.994068448334765,90502.61287858986,536.8209241281155,89965.79195446175,90234.2024165258,2383836.131227115,26.339970255058322
51,0.00650716971157691,0.9934928302884231,89965.79195446175,585.4226764841031,89380.36927797765,89673.0806162197,2293601.9288105895,25.49415593397487
52,0.00713865310045944,0.9928613468995405,89380.36927797765,638.0554502664448,88742.3138277112,89061.34155284442,2203928.84819437,24.657862414285127
53,0.0077180835582672,0.9922819164417328,88742.3138277112,684.9205932762459,88057.39323443496,88399.85353107308,2114867.5066415253,23.831556958808125
54,0.00847176439371701,0.991528235606283,88057.39323443496,746.0014886070232,87311.39174582793,87684.39249013145,2026467.6531104522,23.013032508416334
55,0.00910314626211205,0.9908968537378879,87311.39174582793,794.8083694108344,86516.5833764171,86913.98756112251,1938783.260620321,22.205387199236384
56,0.00999158399741714,0.9900084160025828,86516.5833764171,864.4377099750149,85652.14566644208,86084.36452142958,1851869.2730591984,21.40478970375043
57,0.01068512311956752,0.9893148768804325,85652.14566644208,915.2037219010653,84736.94194454102,85194.54380549156,1765784.9085377688,20.615769690280988
58,0.01165501723248493,0.988344982767515,84736.94194454102,987.6105185917007,83749.33142594932,84243.13668524518,1680590.3647322773,19.833030625912805
59,0.01263537219085754,0.9873646278091425,83749.33142594932,1058.2039733023514,82691.12745264696,83220.22943929814,1596347.2280470321,19.061014588021077
60,0.01339584792022776,0.9866041520797723,82691.12745264696,1107.7177677078294,81583.40968493914,82137.26856879305,1513126.998607734,18.29854115212331
61,0.01484561156220449,0.9851543884377955,81583.40968493914,1211.1556101027982,80372.25407483634,80977.83187988773,1430989.730038941,17.5402049946818
62,0.01571414282856571,0.9842858571714342,80372.25407483634,1262.9810799857505,79109.27299485059,79740.76353484346,1350011.8981590532,16.79698938021606
63,0.01708767019327672,0.9829123298067233,79109.27299485059,1351.7931661658993,77757.47982868469,78433.37641176765,1270271.1346242097,16.05717113222485
64,0.01819641694853765,0.9818035830514623,77757.47982868469,1414.9075238302528,76342.57230485443,77050.02606676955,1191837.758212442,15.327628426722413
65,0.01894695912867924,0.9810530408713207,76342.57230485443,1446.4595972383165,74896.1127076161,75619.34250623526,1114787.7321456724,14.602438698214861
66,0.02065215404371609,0.9793478459562839,74896.1127076161,1546.76605691321,73349.3466507029,74122.7296791595,1039168.3896394372,13.874797396978458
67,0.0218472803910944,0.9781527196089056,73349.3466507029,1602.483742781487,71746.8629079214,72548.10477931215,965045.6599602777,13.156840572226553
68,0.02337468711703407,0.976625312882966,71746.8629079214,1677.0604721014001,70069.80243582,70908.33267187071,892497.5551809656,12.43953420411399
69,0.02475259501430322,0.9752474049856967,70069.80243582,1734.40944242609,68335.3929933939,69202.59771460696,821589.2225090949,11.725296689135442
70,0.02638635068945502,0.973613649310545,68335.3929933939,1803.121644025419,66532.27134936849,67433.83217138119,752386.6247944878,11.010204110002299
71,0.0284900844158439,0.9715099155841561,66532.27134936849,1895.5100271213407,64636.76132224715,65584.51633580781,684952.7926231067,10.295045978910627
72,0.03089840626336637,0.9691015937366336,64636.76132224715,1997.1729108830384,62639.58841136411,63638.174866805624,619368.2762872989,9.582291309421164
73,0.03226699029126213,0.9677330097087379,62639.58841136411,2021.1909911181413,60618.397420245965,61628.992915805036,555730.1014204932,8.871867065455882
74,0.03812448757409174,0.9618755124259083,60618.397420245965,2311.045339209522,58307.35208103644,59462.874750641204,494101.10850468825,8.151009091831636
75,0.03938152949404532,0.9606184705059547,58307.35208103644,2296.232705699021,56011.119375337425,57159.23572818693,434638.233754047,7.454261225067813
76,0.04459251879038489,0.9554074812096152,56011.119375337425,2497.676893215225,53513.442482122206,54762.280928729815,377478.9980258601,6.73935822450408
77,0.04821861486468949,0.9517813851353105,53513.442482122206,2580.3440731291635,50933.09840899304,52223.270445557624,322716.71709713025,6.030572920158212
78,0.05409439062851994,0.94590560937148,50933.09840899304,2755.194921256917,48177.90348773613,49555.500948364584,270493.44665157265,5.310759704416741
79,0.05879496268501839,0.9412050373149816,48177.90348773613,2832.618037803863,45345.285449932264,46761.5944688342,220937.94570320807,4.585877128494159
80,0.0639436356399339,0.9360563643600661,45345.285449932264,2899.542410799265,42445.743039133,43895.514244532635,174176.35123437387,3.841112686933897
81,0.07056060012464026,0.9294393998753597,42445.743039133,2994.9971015774963,39450.745937555504,40948.24448834425,130280.83698984123,3.069349896165756
82,0.07745553521986015,0.9225444647801399,39450.745937555504,3055.678641416085,36395.06729613942,37922.90661684747,89332.59250149698,2.2644081975762083
83,0.08745457272165122,0.9125454272783488,36395.06729613942,3182.915059559615,33212.15223657981,34803.609766359616,51409.685884649516,1.4125454272783486
84,0.09652445681161526,0.9034755431883847,33212.15223657981,3205.7849541805385,NA,16606.076118289904,16606.076118289904,0.5
