scenario,NSP,pct_change_vs_baseline
Female_2019_baseline,4348.557351678858,0
Female_2020_stress,5075.212233244703,0.1671025176396268
Male_2019_baseline,7158.688817568222,0
Male_2020_stress,8655.71304919961,0.2091198918938233
