age,qx,px,lx,dx,lx_next,Lx,Tx,ex
0,0.00603271016687879,0.9939672898331212,100000,603.271016687879,99396.72898331212,99698.36449165606,7391294.504840099,73.912945048401
1,4.212224641769441e-4,0.999578777535823,99396.72898331212,41.86813511347861,99354.86084819863,99375.79491575537,7291596.140348443,73.35851204492495
2,2.567881831562908e-4,0.9997432118168437,99354.86084819863,25.513154204955015,99329.34769399367,99342.10427109615,7192220.345432688,72.38921461951891
3,1.9089480717177104e-4,0.9998091051928282,99329.34769399367,18.96145667454272,99310.38623731912,99319.8669656564,7092878.241161591,71.4076796619343
4,1.5046317014772e-4,0.9998495368298522,99310.38623731912,14.94255554186154,99295.44368177725,99302.91495954819,6993558.374195935,70.42121815419823
5,1.4117989520667573e-4,0.9998588201047933,99295.44368177725,14.018520333493683,99281.42516144375,99288.4344216105,6894255.459236387,69.43174030553855
6,1.2956926500129568e-4,0.9998704307349987,99281.42516144375,12.86382128644941,99268.5613401573,99274.99325080053,6794967.024814776,68.4414734555364
7,1.1820589716086946e-4,0.9998817941028392,99268.5613401573,11.734129353082096,99256.82721080423,99262.69427548077,6695692.031563976,67.45027772307762
8,1.2068914946846288e-4,0.9998793108505315,99256.82721080423,11.979222055010146,99244.84798874921,99250.83759977671,6596429.337288495,66.45819257630336
9,1.1528361699212985e-4,0.9998847163830079,99244.84798874921,11.441305043977112,99233.40668370524,99239.12733622722,6497178.4996887185,65.46615397532035
10,1.4045906462951146e-4,0.9998595409353704,99233.40668370524,13.93823148279315,99219.46845222244,99226.43756796385,6397939.372352491,64.47364437205272
11,1.5154087604657917e-4,0.9998484591239534,99219.46845222244,15.035805170125712,99204.43264705231,99211.95054963737,6298712.934784527,63.48263131259942
12,1.6326955897217392e-4,0.9998367304410278,99204.43264705231,16.19706396636896,99188.23558308595,99196.33411506913,6199500.98423489,62.49217720231675
13,1.8471748772964865e-4,0.9998152825122704,99188.23558308595,18.32180168924418,99169.9137813967,99179.07468224132,6100304.650119821,61.50230029054044
14,2.5215934965469225e-4,0.9997478406503453,99169.9137813967,25.006620964428894,99144.90716043227,99157.41047091447,6001125.575437579,60.51357056401245
15,3.5403715042352983e-4,0.9996459628495765,99144.90716043227,35.10098041008486,99109.80618002219,99127.35667022722,5901968.164966665,59.52870736382192
16,4.914550613964412e-4,0.9995085449386035,99109.80618002219,48.708015881192196,99061.09816414099,99085.4521720816,5802840.808296437,58.54961312058474
17,6.404573045031296e-4,0.9993595426954969,99061.09816414099,63.44440391132566,98997.65376022966,99029.37596218532,5703755.356124356,57.5781559242703
18,9.077580631425828e-4,0.9990922419368574,98997.65376022966,89.8659184330461,98907.78784179661,98952.72080101314,5604725.980162171,56.61473547379926
19,0.0010122883315032,0.9989877116684968,98907.78784179661,100.12319952704478,98807.66464226956,98857.7262420331,5505773.259361158,55.66572035932766
20,0.00112315340434118,0.9988768465956588,98807.66464226956,110.97616491796668,98696.68847735159,98752.17655981058,5406915.533119124,54.721620561468725
21,0.00131270558176496,0.998687294418235,98696.68847735159,129.55969386593685,98567.12878348565,98631.90863041862,5308163.356559314,53.78258823524159
22,0.00132510604492514,0.9986748939550748,98567.12878348565,130.61189818191158,98436.51688530373,98501.8228343947,5209531.447928895,52.85262452325508
23,0.00134083009940776,0.9986591699005922,98436.51688530373,131.98664472067543,98304.53024058306,98370.52356294339,5111029.6250945,51.92208935074135
24,0.00139452805807138,0.9986054719419286,98304.53024058306,137.08842565601955,98167.44181492704,98235.98602775505,5012659.101531558,50.99113020797674
25,0.00149665520563853,0.9985033447943614,98167.44181492704,146.92281281652805,98020.51900211051,98093.98040851878,4914423.115503802,50.061639833386494
26,0.00156220544861417,0.9984377945513858,98020.51900211051,153.12818886108582,97867.39081324943,97943.95490767996,4816329.135095283,49.13592770296984
27,0.00159585671982059,0.9984041432801795,97867.39081324943,156.18233328063198,97711.2084799688,97789.29964660911,4718385.180187603,48.212025895236415
28,0.00168409907021742,0.9983159009297826,97711.2084799688,164.55535535093594,97546.65312461786,97628.93080229333,4620595.880540995,47.28828915761733
29,0.00175095960537829,0.9982490403946217,97546.65312461786,170.80024926105384,97375.85287535681,97461.25299998734,4522966.949738701,46.36721819620523
30,0.00183735499484165,0.9981626450051584,97375.85287535681,178.91400965750248,97196.93886569931,97286.39587052807,4425505.696738713,45.44767071158243
31,0.00187697774146363,0.9981230222585363,97196.93886569931,182.4364907893188,97014.50237491,97105.72062030465,4328219.300868186,44.53040755582489
32,0.00190590056815391,0.9980940994318461,97014.50237491,184.8999951955098,96829.60237971449,96922.05237731224,4231113.580247881,43.61320706358781
33,0.00196587140258906,0.9980341285974109,96829.60237971449,190.3545462423503,96639.24783347214,96734.42510659332,4134191.527870569,42.69553345534206
34,0.00206602017026104,0.997933979829739,96639.24783347214,199.65863526280896,96439.58919820933,96539.41851584073,4037457.1027639755,41.77864784007099
35,0.00215489601046676,0.9978451039895332,96439.58919820933,207.81728601427454,96231.77191219505,96335.68055520218,3940917.684248135,40.864106919291075
36,0.00221505470555379,0.9977849452944462,96231.77191219505,213.15863919788669,96018.61327299716,96125.19259259611,3844582.0036929324,39.951275210861255
37,0.00232261519318601,0.997677384806814,96018.61327299716,223.01429001651505,95795.59898298065,95907.1061279889,3748456.8111003367,39.03885593976285
