sex,scenario,level_premium,baseline_premium,pct_change_vs_baseline
Female,2019_baseline,289.3429253610051,289.3429253610051,0
Female,2020_full_stress,338.9156026876467,289.3429253610051,0.17132845831565136
Female,temporary_stress_2yr,293.34717573804886,289.3429253610051,0.013839116239140026
Male,2019_baseline,482.72241192009034,482.72241192009034,0
Male,2020_full_stress,588.2242877325867,482.72241192009034,0.21855599244470358
Male,temporary_stress_2yr,491.4848562695584,482.72241192009034,0.0181521390618975
